trace_type,cache_size,policy,hits,misses,hit_rate,amat
recency,512,lru,10119,9881,0.50595,50.405
recency,512,fifo,9755,10245,0.48775,52.225
recency,512,random,9676,10324,0.4838,52.62
recency,512,arc,10835,9165,0.54175,46.825
recency,1024,lru,16886,3114,0.8443,16.57
recency,1024,fifo,15476,4524,0.7738,23.62
recency,1024,random,15533,4467,0.77665,23.335
recency,1024,arc,17189,2811,0.85945,15.055
recency,2048,lru,18536,1464,0.9268,8.32
recency,2048,fifo,17950,2050,0.8975,11.25
recency,2048,random,17941,2059,0.89705,11.295
recency,2048,arc,18513,1487,0.92565,8.435
scan,512,lru,7827,12173,0.39135,61.865
scan,512,fifo,7534,12466,0.3767,63.33
scan,512,random,7583,12417,0.37915,63.085
scan,512,arc,8469,11531,0.42345,58.655
scan,1024,lru,13344,6656,0.6672,34.28
scan,1024,fifo,12156,7844,0.6078,40.22
scan,1024,random,12116,7884,0.6058,40.42
scan,1024,arc,13635,6365,0.68175,32.825
scan,2048,lru,14714,5286,0.7357,27.43
scan,2048,fifo,14212,5788,0.7106,29.94
scan,2048,random,14221,5779,0.71105,29.895
scan,2048,arc,14728,5272,0.7364,27.36
