policy,accesses_since_scan_end,hit_rate
lru,0,0.820000
lru,200,0.905000
lru,400,0.880000
lru,600,0.870000
lru,800,0.875000
lru,1000,0.805000
lru,1200,0.765000
lru,1400,0.865000
lru,1600,0.870000
lru,1800,0.790000
lru,2000,0.865000
lru,2200,0.820000
lru,2400,0.820000
lru,2600,0.795000
lru,2800,0.790000
lru,3000,0.825000
lru,3200,0.845000
lru,3400,0.810000
lru,3600,0.835000
lru,3800,0.755000
lru,4000,0.850000
lru,4200,0.840000
lru,4400,0.880000
lru,4600,0.855000
lru,4800,0.785000
lru,5000,0.875000
lru,5200,0.925000
lru,5400,0.840000
lru,5600,0.805000
lru,5800,0.750000
lru,6000,0.785000
lru,6200,0.855000
lru,6400,0.815000
lru,6600,0.855000
lru,6800,0.775000
lru,7000,0.740000
lru,7200,0.865000
lru,7400,0.905000
lru,7600,0.880000
lru,7800,0.860000
fifo,0,0.780000
fifo,200,0.845000
fifo,400,0.810000
fifo,600,0.820000
fifo,800,0.775000
fifo,1000,0.720000
fifo,1200,0.690000
fifo,1400,0.785000
fifo,1600,0.805000
fifo,1800,0.705000
fifo,2000,0.760000
fifo,2200,0.740000
fifo,2400,0.770000
fifo,2600,0.720000
fifo,2800,0.730000
fifo,3000,0.730000
fifo,3200,0.765000
fifo,3400,0.720000
fifo,3600,0.780000
fifo,3800,0.680000
fifo,4000,0.765000
fifo,4200,0.750000
fifo,4400,0.795000
fifo,4600,0.765000
fifo,4800,0.740000
fifo,5000,0.820000
fifo,5200,0.860000
fifo,5400,0.770000
fifo,5600,0.715000
fifo,5800,0.675000
fifo,6000,0.690000
fifo,6200,0.805000
fifo,6400,0.755000
fifo,6600,0.790000
fifo,6800,0.680000
fifo,7000,0.660000
fifo,7200,0.765000
fifo,7400,0.860000
fifo,7600,0.820000
fifo,7800,0.800000
random,0,0.745000
random,200,0.780000
random,400,0.820000
random,600,0.845000
random,800,0.790000
random,1000,0.690000
random,1200,0.700000
random,1400,0.765000
random,1600,0.755000
random,1800,0.710000
random,2000,0.740000
random,2200,0.765000
random,2400,0.765000
random,2600,0.705000
random,2800,0.745000
random,3000,0.675000
random,3200,0.770000
random,3400,0.750000
random,3600,0.775000
random,3800,0.725000
random,4000,0.735000
random,4200,0.780000
random,4400,0.805000
random,4600,0.765000
random,4800,0.750000
random,5000,0.820000
random,5200,0.835000
random,5400,0.680000
random,5600,0.710000
random,5800,0.585000
random,6000,0.715000
random,6200,0.795000
random,6400,0.785000
random,6600,0.805000
random,6800,0.660000
random,7000,0.685000
random,7200,0.775000
random,7400,0.875000
random,7600,0.855000
random,7800,0.770000
arc,0,0.900000
arc,200,0.915000
arc,400,0.895000
arc,600,0.885000
arc,800,0.875000
arc,1000,0.840000
arc,1200,0.805000
arc,1400,0.875000
arc,1600,0.880000
arc,1800,0.810000
arc,2000,0.880000
arc,2200,0.840000
arc,2400,0.840000
arc,2600,0.815000
arc,2800,0.800000
arc,3000,0.850000
arc,3200,0.865000
arc,3400,0.820000
arc,3600,0.865000
arc,3800,0.800000
arc,4000,0.850000
arc,4200,0.835000
arc,4400,0.895000
arc,4600,0.855000
arc,4800,0.815000
arc,5000,0.865000
arc,5200,0.930000
arc,5400,0.850000
arc,5600,0.800000
arc,5800,0.795000
arc,6000,0.800000
arc,6200,0.865000
arc,6400,0.840000
arc,6600,0.855000
arc,6800,0.800000
arc,7000,0.795000
arc,7200,0.865000
arc,7400,0.915000
arc,7600,0.895000
arc,7800,0.875000
opt,0,0.910000
opt,200,0.935000
opt,400,0.915000
opt,600,0.920000
opt,800,0.890000
opt,1000,0.870000
opt,1200,0.865000
opt,1400,0.905000
opt,1600,0.900000
opt,1800,0.860000
opt,2000,0.895000
opt,2200,0.880000
opt,2400,0.890000
opt,2600,0.865000
opt,2800,0.860000
opt,3000,0.880000
opt,3200,0.890000
opt,3400,0.870000
opt,3600,0.895000
opt,3800,0.850000
opt,4000,0.885000
opt,4200,0.880000
opt,4400,0.910000
opt,4600,0.890000
opt,4800,0.870000
opt,5000,0.900000
opt,5200,0.940000
opt,5400,0.895000
opt,5600,0.855000
opt,5800,0.850000
opt,6000,0.855000
opt,6200,0.905000
opt,6400,0.885000
opt,6600,0.895000
opt,6800,0.850000
opt,7000,0.840000
opt,7200,0.895000
opt,7400,0.935000
opt,7600,0.920000
opt,7800,0.905000
